Quelle:;"Bayerisches Landesamt für Umwelt, www.gkd.bayern.de"
Datenbankabfrage:;"23.11.2023 14:39"
Zeitbezug:;MEZ
Messstellen-Name:;"Kempten Pegel"
Messstellen-Nr.:;2290
Gewässer:;Iller
Ostwert:;598753;Nordwert:;5287207;"ETRS89 / UTM Zone 32N"

Datum;"o-PO4-P [mg/l] ( m Tiefe)";"NO3 [mg/l] ( m Tiefe)";Prüfstatus
"2000-01-25 09:50:00";0,009;4,00;Geprueft
"2000-02-08 09:45:00";0,017;3,5;Geprueft
"2000-02-22 15:25:00";0,023;4,00;Geprueft
"2000-03-08 09:45:00";0,02;4,00;Geprueft
"2000-03-21 10:35:00";0,01;4,00;Geprueft
"2000-04-03 10:20:00";0,009;3,5;Geprueft
"2000-04-19 09:45:00";0,007;3,1;Geprueft
"2000-05-02 10:00:00";"< BG";2,2;Geprueft
"2000-05-17 09:55:00";"< BG";1,8;Geprueft
"2000-05-30 09:20:00";0,008;2,2;Geprueft
"2000-06-13 09:45:00";0,009;2,2;Geprueft
"2000-06-27 09:45:00";0,016;2,7;Geprueft
"2000-07-11 09:45:00";0,012;2,2;Geprueft
"2000-07-25 10:05:00";0,012;1,8;Geprueft
"2000-08-08 09:40:00";0,008;2,2;Geprueft
"2000-08-22 09:50:00";0,05;3,5;Geprueft
"2000-09-05 09:35:00";0,013;2,2;Geprueft
"2000-09-19 09:35:00";0,018;3,1;Geprueft
"2000-10-04 09:35:00";0,01;2,7;Geprueft
"2000-10-17 09:40:00";0,011;3,1;Geprueft
"2000-10-30 09:45:00";0,014;3,1;Geprueft
"2000-11-14 09:45:00";0,011;2,7;Geprueft
"2000-11-28 09:50:00";0,018;3,1;Geprueft
"2000-12-12 09:50:00";0,013;3,1;Geprueft
"2000-12-27 09:50:00";0,016;3,5;Geprueft
"2001-01-09 09:55:00";0,013;4,00;Geprueft
"2001-01-23 09:20:00";0,013;4,4;Geprueft
"2001-02-06 09:35:00";0,029;4,00;Geprueft
"2001-02-20 09:40:00";0,023;4,00;Geprueft
"2001-03-06 09:25:00";0,023;4,00;Geprueft
"2001-03-19 09:30:00";0,013;3,1;Geprueft
"2001-04-03 09:25:00";0,012;3,1;Geprueft
"2001-04-17 09:45:00";0,016;3,1;Geprueft
"2001-05-02 09:30:00";0,007;2,2;Geprueft
"2001-05-15 09:45:00";0,006;1,8;Geprueft
"2001-05-29 09:50:00";0,008;1,8;Geprueft
"2001-06-12 09:40:00";0,01;2,2;Geprueft
"2001-06-27 09:35:00";0,011;2,7;Geprueft
"2001-07-10 09:40:00";0,015;2,7;Geprueft
"2001-07-25 09:40:00";0,016;2,7;Geprueft
"2001-08-07 09:35:00";0,017;2,7;Geprueft
"2001-08-20 09:45:00";0,011;2,7;Geprueft
"2001-09-04 09:35:00";0,012;2,7;Geprueft
"2001-09-17 09:55:00";0,014;1,8;Geprueft
